employee_id,skill_id,proficiency
b0c90386da284e0700645d006e6677e4,S040,3
b0c90386da284e0700645d006e6677e4,S026,4
b0c90386da284e0700645d006e6677e4,S027,3
b0c90386da284e0700645d006e6677e4,S045,2
b0c90386da284e0700645d006e6677e4,S036,2
b0c90386da284e0700645d006e6677e4,S042,3
b0c90386da284e0700645d006e6677e4,S005,3
b0c90386da284e0700645d006e6677e4,S013,3
b0c90386da284e0700645d006e6677e4,S009,3
b0c90386da284e0700645d006e6677e4,S004,3
fc8b075db46508e71d2be3acc256f9c4,S044,2
fc8b075db46508e71d2be3acc256f9c4,S005,2
fc8b075db46508e71d2be3acc256f9c4,S043,3
fc8b075db46508e71d2be3acc256f9c4,S041,3
fc8b075db46508e71d2be3acc256f9c4,S011,2
fc8b075db46508e71d2be3acc256f9c4,S017,2
fc8b075db46508e71d2be3acc256f9c4,S003,2
fc8b075db46508e71d2be3acc256f9c4,S037,2
fc8b075db46508e71d2be3acc256f9c4,S036,3
fc8b075db46508e71d2be3acc256f9c4,S012,4
fc8b075db46508e71d2be3acc256f9c4,S040,2
b433953a6db73b535295bf0bc6eaeb8d,S029,4
b433953a6db73b535295bf0bc6eaeb8d,S044,4
b433953a6db73b535295bf0bc6eaeb8d,S008,3
b433953a6db73b535295bf0bc6eaeb8d,S012,1
b433953a6db73b535295bf0bc6eaeb8d,S022,4
b433953a6db73b535295bf0bc6eaeb8d,S021,3
b433953a6db73b535295bf0bc6eaeb8d,S043,3
b433953a6db73b535295bf0bc6eaeb8d,S016,4
b433953a6db73b535295bf0bc6eaeb8d,S018,3
6454006028096215decc7ea21c8e6edd,S035,4
6454006028096215decc7ea21c8e6edd,S014,5
6454006028096215decc7ea21c8e6edd,S018,4
6454006028096215decc7ea21c8e6edd,S010,2
6454006028096215decc7ea21c8e6edd,S007,4
6454006028096215decc7ea21c8e6edd,S013,5
6454006028096215decc7ea21c8e6edd,S008,3
6454006028096215decc7ea21c8e6edd,S024,5
6454006028096215decc7ea21c8e6edd,S042,5
6454006028096215decc7ea21c8e6edd,S016,4
0932bfea2d3011d9f0fb94ef7fa05a3b,S010,4
0932bfea2d3011d9f0fb94ef7fa05a3b,S025,4
0932bfea2d3011d9f0fb94ef7fa05a3b,S040,3
0932bfea2d3011d9f0fb94ef7fa05a3b,S041,4
0932bfea2d3011d9f0fb94ef7fa05a3b,S007,2
0932bfea2d3011d9f0fb94ef7fa05a3b,S044,3
0932bfea2d3011d9f0fb94ef7fa05a3b,S028,2
0932bfea2d3011d9f0fb94ef7fa05a3b,S030,2
0932bfea2d3011d9f0fb94ef7fa05a3b,S018,4
0932bfea2d3011d9f0fb94ef7fa05a3b,S027,3
f52773fc05f209f8d45263992ce543e9,S018,2
f52773fc05f209f8d45263992ce543e9,S025,2
f52773fc05f209f8d45263992ce543e9,S036,3
f52773fc05f209f8d45263992ce543e9,S011,3
f52773fc05f209f8d45263992ce543e9,S007,1
f52773fc05f209f8d45263992ce543e9,S022,1
f52773fc05f209f8d45263992ce543e9,S015,2
f52773fc05f209f8d45263992ce543e9,S012,2
2a9db7d3e4e55f32f17bdcc8aaad75d8,S033,2
2a9db7d3e4e55f32f17bdcc8aaad75d8,S031,3
2a9db7d3e4e55f32f17bdcc8aaad75d8,S038,3
2a9db7d3e4e55f32f17bdcc8aaad75d8,S021,4
2a9db7d3e4e55f32f17bdcc8aaad75d8,S003,3
2a9db7d3e4e55f32f17bdcc8aaad75d8,S009,3
2a9db7d3e4e55f32f17bdcc8aaad75d8,S018,4
2a9db7d3e4e55f32f17bdcc8aaad75d8,S045,4
2a9db7d3e4e55f32f17bdcc8aaad75d8,S004,2
e4c2d7916d816845887f90a544ef0ad8,S028,4
e4c2d7916d816845887f90a544ef0ad8,S008,4
e4c2d7916d816845887f90a544ef0ad8,S009,5
e4c2d7916d816845887f90a544ef0ad8,S035,5
e4c2d7916d816845887f90a544ef0ad8,S036,4
e4c2d7916d816845887f90a544ef0ad8,S002,4
e4c2d7916d816845887f90a544ef0ad8,S018,4
e4c2d7916d816845887f90a544ef0ad8,S013,5
e4c2d7916d816845887f90a544ef0ad8,S006,4
e4c2d7916d816845887f90a544ef0ad8,S011,5
88c5252bccc012bc2bc25d2738996b9a,S024,3
88c5252bccc012bc2bc25d2738996b9a,S014,1
88c5252bccc012bc2bc25d2738996b9a,S020,1
88c5252bccc012bc2bc25d2738996b9a,S006,2
88c5252bccc012bc2bc25d2738996b9a,S032,2
e54915156bc980c76d4d4f0efe9bd426,S032,3
e54915156bc980c76d4d4f0efe9bd426,S040,4
e54915156bc980c76d4d4f0efe9bd426,S034,4
e54915156bc980c76d4d4f0efe9bd426,S002,3
e54915156bc980c76d4d4f0efe9bd426,S006,3
e54915156bc980c76d4d4f0efe9bd426,S010,3
e54915156bc980c76d4d4f0efe9bd426,S001,2
e54915156bc980c76d4d4f0efe9bd426,S008,3
e54915156bc980c76d4d4f0efe9bd426,S024,4
e54915156bc980c76d4d4f0efe9bd426,S021,3
e54915156bc980c76d4d4f0efe9bd426,S042,3
38b35a4b0ab4b3ec7c2c672e44a796e9,S021,1
38b35a4b0ab4b3ec7c2c672e44a796e9,S002,2
38b35a4b0ab4b3ec7c2c672e44a796e9,S014,2
38b35a4b0ab4b3ec7c2c672e44a796e9,S038,3
38b35a4b0ab4b3ec7c2c672e44a796e9,S030,2
38b35a4b0ab4b3ec7c2c672e44a796e9,S016,1
fa5a5cc7770eacf09db505a731e1c27a,S031,3
fa5a5cc7770eacf09db505a731e1c27a,S040,1
fa5a5cc7770eacf09db505a731e1c27a,S020,2
fa5a5cc7770eacf09db505a731e1c27a,S043,3
fa5a5cc7770eacf09db505a731e1c27a,S036,1
2ed67b8db71a52d7071a68c2be201de1,S015,4
2ed67b8db71a52d7071a68c2be201de1,S012,5
2ed67b8db71a52d7071a68c2be201de1,S041,4
2ed67b8db71a52d7071a68c2be201de1,S045,4
2ed67b8db71a52d7071a68c2be201de1,S007,4
2ed67b8db71a52d7071a68c2be201de1,S044,4
2ed67b8db71a52d7071a68c2be201de1,S002,3
2ed67b8db71a52d7071a68c2be201de1,S008,3
2ed67b8db71a52d7071a68c2be201de1,S018,5
2ed67b8db71a52d7071a68c2be201de1,S038,4
2ed67b8db71a52d7071a68c2be201de1,S004,3
262f33875cd997935a55cd3bcb781411,S028,3
262f33875cd997935a55cd3bcb781411,S026,2
262f33875cd997935a55cd3bcb781411,S023,3
262f33875cd997935a55cd3bcb781411,S035,3
262f33875cd997935a55cd3bcb781411,S014,2
262f33875cd997935a55cd3bcb781411,S001,3
262f33875cd997935a55cd3bcb781411,S019,2
