job_id,skill_id,min_proficiency
L001,S001,1
L001,S003,1
L001,S014,2
L001,S021,2
L001,S022,2
L001,S025,2
L001,S034,3
L002,S001,1
L002,S003,1
L002,S014,2
L002,S021,2
L002,S022,2
L002,S025,2
L002,S034,3
L003,S001,1
L003,S003,1
L003,S014,2
L003,S021,2
L003,S022,2
L003,S025,2
L003,S034,3
L004,S001,2
L004,S002,2
L004,S003,2
L004,S014,3
L004,S021,3
L004,S022,3
L004,S023,3
L004,S025,3
L004,S034,4
L004,S006,2
L005,S001,2
L005,S002,2
L005,S003,2
L005,S014,3
L005,S021,3
L005,S022,3
L005,S023,3
L005,S025,3
L005,S034,4
L005,S040,3
L005,S044,3
L006,S001,2
L006,S002,2
L006,S003,2
L006,S014,3
L006,S021,3
L006,S022,3
L006,S023,3
L006,S025,3
L006,S034,4
L006,S018,3
L006,S019,3
L007,S001,2
L007,S002,2
L007,S003,2
L007,S014,3
L007,S021,3
L007,S022,3
L007,S023,3
L007,S025,3
L007,S034,4
L008,S001,3
L008,S002,3
L008,S003,3
L008,S014,4
L008,S016,3
L008,S021,4
L008,S022,4
L008,S023,4
L008,S024,3
L008,S025,4
L008,S034,4
L008,S036,2
L008,S041,2
L008,S006,2
L008,S010,3
L009,S001,3
L009,S002,3
L009,S003,3
L009,S014,4
L009,S016,3
L009,S021,4
L009,S022,4
L009,S023,4
L009,S024,3
L009,S025,4
L009,S034,4
L009,S036,2
L009,S041,2
L009,S040,3
L009,S044,3
L010,S001,3
L010,S002,3
L010,S003,3
L010,S014,4
L010,S016,3
L010,S021,4
L010,S022,4
L010,S023,4
L010,S024,3
L010,S025,4
L010,S034,4
L010,S036,2
L010,S041,2
L010,S018,3
L010,S019,3
L011,S001,3
L011,S002,3
L011,S003,3
L011,S014,4
L011,S016,3
L011,S021,4
L011,S022,4
L011,S023,4
L011,S024,3
L011,S025,4
L011,S034,4
L011,S036,2
L011,S041,2
L012,S002,4
L012,S016,4
L012,S021,5
L012,S022,4
L012,S023,5
L012,S024,4
L012,S028,4
L012,S034,5
L012,S036,4
L012,S037,4
L012,S038,4
L012,S041,4
L012,S043,4
L012,S010,3
L013,S002,4
L013,S016,4
L013,S021,5
L013,S022,4
L013,S023,5
L013,S024,4
L013,S028,4
L013,S034,5
L013,S036,4
L013,S037,4
L013,S038,4
L013,S041,4
L013,S043,4
L013,S040,3
L013,S044,3
L014,S002,4
L014,S016,4
L014,S021,5
L014,S022,4
L014,S023,5
L014,S024,4
L014,S028,4
L014,S034,5
L014,S036,4
L014,S037,4
L014,S038,4
L014,S041,4
L014,S043,4
L014,S018,3
L014,S019,3
L015,S002,4
L015,S016,4
L015,S021,5
L015,S022,4
L015,S023,5
L015,S024,4
L015,S028,4
L015,S034,5
L015,S036,4
L015,S037,4
L015,S038,4
L015,S041,4
L015,S043,4
L016,S016,4
L016,S021,5
L016,S023,5
L016,S024,5
L016,S028,5
L016,S034,5
L016,S036,5
L016,S037,5
L016,S038,5
L016,S039,4
L016,S041,5
L016,S043,5
L016,S044,4
L016,S010,3
L017,S016,4
L017,S021,5
L017,S023,5
L017,S024,5
L017,S028,5
L017,S034,5
L017,S036,5
L017,S037,5
L017,S038,5
L017,S039,4
L017,S041,5
L017,S043,5
L017,S044,4
L018,S016,4
L018,S021,5
L018,S023,5
L018,S024,5
L018,S028,5
L018,S034,5
L018,S036,5
L018,S037,5
L018,S038,5
L018,S039,4
L018,S041,5
L018,S043,5
L018,S044,4
L019,S016,4
L019,S021,5
L019,S023,5
L019,S024,5
L019,S028,5
L019,S034,5
L019,S036,5
L019,S037,5
L019,S038,5
L019,S039,4
L019,S041,5
L019,S043,5
L019,S044,4
L020,S021,5
L020,S023,5
L020,S024,5
L020,S028,5
L020,S031,5
L020,S034,5
L020,S036,5
L020,S037,5
L020,S038,5
L020,S039,5
L020,S040,5
L020,S041,5
L020,S043,5
L020,S044,5
L020,S045,5
L021,S021,5
L021,S023,5
L021,S024,5
L021,S028,5
L021,S031,5
L021,S034,5
L021,S036,5
L021,S037,5
L021,S038,5
L021,S039,5
L021,S040,5
L021,S041,5
L021,S043,5
L021,S044,5
L021,S045,5
L022,S021,5
L022,S023,5
L022,S024,5
L022,S028,5
L022,S031,5
L022,S034,5
L022,S036,5
L022,S037,5
L022,S038,5
L022,S039,5
L022,S040,5
L022,S041,5
L022,S043,5
L022,S044,5
L022,S045,5
L023,S021,5
L023,S023,5
L023,S024,5
L023,S028,5
L023,S031,5
L023,S034,5
L023,S036,5
L023,S037,5
L023,S038,5
L023,S039,5
L023,S040,5
L023,S041,5
L023,S043,5
L023,S044,5
L023,S045,5
