Feature,Native Importance,SHAP Importance,Native Importance (Normalized),SHAP Importance (Normalized)
tenure_years,0.17066939,2.332051,0.17066939,0.39315072
tenure_category_encoded,0.5060688,1.5688635,0.5060688,0.26448813
behavior_avg,0.027957063,0.41441542,0.027957063,0.069864556
performance_rating_encoded,0.043697074,0.32443425,0.043697074,0.05469501
combined_score,0.022207376,0.29635793,0.022207376,0.049961742
perf_beh_ratio,0.019277457,0.23811357,0.019277457,0.04014257
marital_status_encoded,0.030888852,0.22075742,0.030888852,0.03721657
performance_score,0.021659086,0.1294798,0.021659086,0.021828456
performance_level_encoded,0.030442743,0.123686545,0.030442743,0.020851796
behavioral_level_encoded,0.019171443,0.116892435,0.019171443,0.019706406
score_difference,0.022407625,0.1155168,0.022407625,0.019474493
high_performer,0.025673304,0.042976607,0.025673304,0.007245246
is_permanent_encoded,0.059879847,0.008152193,0.059879847,0.0013743441
gender_encoded,0.0,0.0,0.0,0.0
